id,SMILES_input,fingerprints_input_ECFP4
25,C C ( = O ) C 1 = C C = C C = C 1 O C C S C 2 = N N C ( = N 2 ) C 3 C C C C 3,12 13 22 68 74 80 100 116 138 154 171 228 233 286 336 339 341 378 385 405 427 436 472 500 520 591 650 660 695 713 807 827 861 890 926 934 946 1017 1019 1028 1032 1057 1086 1088 1089 1114 1182 1199 1217 1272 1325 1332 1347 1379 1380 1410 1447 1452 1484 1515 1518 1557 1561 1614 1620 1669 1677 1678 1680 1712 1721 1749 1750 1808 1815 1820 1855 1873 1882 1885 1902 1917 1933 1943 1970 1978 1989 1991 2000 2004
26,C O C 1 = N C = C ( C = C 1 ) S ( = O ) ( = O ) C,3 4 45 103 150 183 311 319 350 378 413 436 456 501 650 692 695 715 726 733 747 759 771 841 857 890 933 982 997 1030 1043 1057 1067 1106 1133 1276 1282 1316 1380 1385 1387 1389 1394 1416 1452 1476 1518 1535 1536 1570 1582 1599 1667 1677 1708 1730 1750 1777 1816 1851 1857 1873 1930 1961 2007 2029 2038
27,O 1 [C@@] 2 3 [C@] ( C ( O C ( = O ) C 3 ) c 3 c o c c 3 ) ( C C C ( [C@@] 3 ( C 1 C C ( O ) C ( C 3 C C ( = O ) O C ) ( C ) C ) C ) C 2 = C ) C,35 49 80 89 94 126 141 145 146 188 195 226 227 228 284 297 314 384 396 477 517 549 555 614 650 656 687 695 699 706 750 760 779 783 787 797 800 807 841 844 921 926 940 958 964 967 968 970 1003 1004 1006 1019 1057 1060 1070 1150 1152 1162 1249 1256 1257 1274 1279 1288 1292 1325 1327 1366 1380 1386 1436 1519 1582 1630 1656 1658 1724 1750 1758 1760 1807 1823 1840 1843 1866 1868 1873 1902 1917 1924 1950 1952 1959 1961 1966 1987 1994 2034
28,C C 1 C C C 2 = C ( C 1 ) S C 3 = C 2 C ( = O ) N C ( = N 3 ) C O C ( = O ) C 4 = C ( C = C C = C 4 O C ) O C,4 14 42 54 80 83 135 145 146 147 162 191 193 231 249 314 337 356 361 373 378 395 404 410 427 444 480 485 511 532 536 558 586 617 639 650 662 675 684 695 703 709 740 745 750 771 807 841 883 891 916 926 953 990 997 1001 1006 1019 1039 1040 1057 1088 1114 1148 1199 1217 1225 1239 1283 1309 1325 1380 1404 1410 1430 1449 1482 1536 1679 1682 1687 1709 1720 1723 1729 1738 1745 1750 1784 1825 1855 1873 1876 1917 1970 1984
29,C c 1 c c ( C N C ( = O ) N C ( C ) ( C O ) C 2 C C 2 ) c ( C ) s 1,8 80 103 114 115 160 162 197 222 234 255 274 286 313 345 354 389 392 450 455 457 500 544 545 642 649 650 675 709 721 740 761 775 795 807 820 821 870 875 907 926 928 953 989 993 1003 1019 1029 1048 1057 1060 1096 1150 1152 1154 1219 1240 1325 1349 1380 1393 1400 1419 1467 1508 1523 1530 1612 1625 1645 1669 1702 1722 1783 1789 1801 1821 1873 1881 1889 1917 1918 1923 1930 1989 2008
30,C 1 [C@@H] 2 C C ( C [C@H] 1 C C ( C 2 ) O C ( = O ) C 3 = C C = C C 4 = C C = C C = C 4 3 ) C O C ( = O ) C 5 = C C = C C 6 = C C = C C = C 6 5,12 29 80 119 139 145 147 177 233 272 377 381 406 428 433 500 650 653 655 695 729 757 801 807 838 926 946 1005 1006 1019 1039 1069 1071 1087 1088 1104 1126 1136 1181 1199 1203 1258 1280 1292 1301 1302 1310 1322 1357 1380 1427 1446 1447 1469 1555 1571 1573 1673 1683 1750 1764 1770 1793 1809 1855 1873 1891 1895 1900 1917 1921 1932 1943 1953 1976 1991 2000 2041
31,C C ( C ) C ( C ( = O ) O ) S C 1 = N C = C S 1,1 9 14 59 75 108 115 116 139 190 192 265 279 281 283 324 328 378 389 409 466 479 480 519 531 554 579 650 675 732 762 807 875 904 922 937 972 985 999 1057 1091 1100 1113 1119 1145 1193 1218 1232 1301 1361 1380 1452 1462 1477 1507 1546 1567 1727 1759 1773 1840 1844 1855 1866 1873 1917 1929 1951 1981 2003 2014 2019
32,C C ( C ) ( C ) O C ( = O ) N [C@@H] ( C C 1 = C C = C ( C = C 1 ) O C C 2 = C C = C C = C 2 ) C ( = O ) N 3 C C C [C@H] 3 C # C,1 12 25 53 79 80 102 104 107 108 113 114 117 188 193 231 242 263 283 285 291 310 322 383 389 392 446 454 494 525 566 581 613 615 650 654 674 695 718 736 745 752 786 807 857 915 926 935 937 974 1003 1019 1028 1039 1040 1057 1066 1069 1072 1076 1088 1152 1169 1199 1210 1224 1231 1240 1312 1325 1327 1358 1375 1380 1416 1433 1435 1452 1480 1518 1524 1530 1539 1555 1560 1574 1578 1592 1617 1624 1631 1693 1709 1745 1750 1754 1758 1774 1790 1817 1857 1859 1863 1864 1871 1873 1888 1890 1917 1922 1977 2005 2006 2042
33,C C C 1 = C ( C ( = O ) C = C ( N 1 C C 2 = C C = C ( C = C 2 ) O C ) C ) C ( = O ) N 3 C C N ( C C 3 ) C 4 = C C ( = C C = C 4 ) O C,2 21 34 49 51 80 82 85 204 243 253 294 310 314 322 335 345 349 354 407 414 430 449 467 496 525 545 562 586 610 623 650 687 695 718 750 779 781 802 807 831 833 841 865 875 883 902 918 926 929 935 942 1039 1049 1057 1088 1096 1116 1128 1129 1132 1148 1174 1204 1232 1236 1281 1313 1380 1420 1480 1494 1504 1508 1534 1536 1589 1665 1683 1722 1738 1750 1754 1765 1799 1825 1852 1873 1887 1917 1944 1972 1982 2003 2009 2024 2040
34,C C ( C ) C O C ( = O ) N ( C C O ) C 1 C C 1,1 13 28 40 77 80 118 147 222 254 265 283 308 314 337 401 404 434 435 473 504 548 582 611 643 650 695 734 750 772 796 807 809 827 833 881 926 942 1019 1025 1027 1057 1082 1104 1109 1115 1136 1154 1239 1263 1265 1268 1303 1325 1403 1448 1484 1527 1625 1665 1704 1768 1770 1790 1815 1831 1846 1847 1872 1883 1890 1917 1945 1951 1962 1966 1990 2043
35,C O C C C N C ( = O ) C 1 = C N = C ( C = C 1 ) C ( F ) ( F ) F,8 13 33 80 85 102 114 173 197 214 265 319 378 404 426 467 470 473 475 486 490 496 506 576 594 650 667 695 705 715 724 775 789 800 807 809 841 895 915 1005 1045 1057 1090 1125 1152 1171 1214 1240 1242 1251 1380 1385 1406 1434 1452 1453 1535 1599 1612 1637 1697 1705 1717 1750 1768 1796 1867 1873 1876 1881 1911 1917 1925 1928 1951 1974 1987 2028
36,C [C@@] 1 2 C S C C N 1 C ( = O ) [C@@H] ( [C@H] ( [C@@H] 2 O C ( = O ) C ( C ) ( C ) C ) O C ( = O ) C ( C ) ( C ) C ) O C ( = O ) C ( C ) ( C ) C,5 7 26 38 59 68 70 101 114 181 232 270 301 314 364 390 391 392 400 426 436 444 530 554 604 617 633 650 675 695 710 715 719 729 737 746 779 789 794 807 829 854 926 935 1018 1019 1057 1060 1063 1071 1073 1096 1126 1128 1169 1197 1245 1255 1274 1279 1380 1441 1451 1480 1515 1517 1537 1569 1627 1637 1676 1708 1806 1834 1835 1855 1869 1899 1917 1935 1950 1991 1993 2029
37,C C O [C@@H] ( C ) [C@@H] ( C ( = O ) O ) N,1 30 57 75 78 80 92 115 210 230 232 283 294 316 389 422 515 650 663 677 695 727 739 747 774 786 789 807 841 844 980 1057 1135 1139 1171 1238 1241 1252 1257 1328 1346 1402 1503 1517 1545 1587 1595 1660 1723 1748 1760 1844 1869 1876 1917
38,C C C 1 = C ( [C@H] ( N C ( = S ) N 1 C 2 = C C 3 = C ( C = C 2 ) O C C O 3 ) C 4 = C C = C C = C 4 F ) C ( = O ) O C,19 30 35 80 97 145 146 202 209 233 265 281 294 301 345 364 371 398 424 441 522 526 529 650 656 686 695 699 733 738 740 786 807 812 818 830 838 841 875 906 926 935 950 951 980 988 1000 1010 1019 1027 1032 1035 1037 1039 1057 1088 1114 1137 1152 1167 1199 1279 1315 1380 1427 1430 1479 1497 1529 1587 1611 1630 1633 1647 1660 1686 1702 1717 1749 1750 1757 1799 1824 1825 1840 1860 1867 1873 1874 1898 1905 1917 1928 1934 2003
39,C C 1 = C C 2 = C ( C = C 1 C ) O C 3 = C ( C 2 = O ) C ( N ( C 3 = O ) C 4 = N N = C ( S 4 ) C ) C 5 = C C = C ( C = C 5 ) O C,36 75 99 136 144 162 171 215 222 305 314 321 322 343 351 362 365 378 406 417 423 461 483 509 525 540 581 622 647 650 656 665 675 695 705 718 759 781 811 819 831 838 841 860 875 879 897 935 937 941 983 986 989 1019 1057 1061 1090 1104 1109 1114 1142 1164 1218 1223 1273 1279 1288 1335 1357 1363 1375 1380 1391 1401 1427 1438 1442 1452 1475 1488 1503 1510 1536 1542 1549 1581 1601 1604 1634 1648 1664 1719 1722 1750 1766 1803 1808 1865 1873 1876 1877 1922 1935 1981 2003 2020 2028
40,C C 1 = C 2 C ( = C C = C 1 ) S C ( = N 2 ) N,77 96 132 162 166 209 225 350 378 438 461 488 588 640 649 675 812 824 885 945 1039 1057 1066 1087 1088 1107 1123 1131 1166 1171 1264 1281 1285 1290 1301 1343 1380 1391 1402 1423 1457 1484 1499 1531 1555 1605 1653 1696 1722 1724 1731 1746 1750 1837 1838 1855 1873 1941 1958 1987 1999
41,O = c 1 n ( c 2 c c 3 c ( c c 2 ) c c c c 3 ) c ( n c 2 c 1 c c c c 2 ) C C,44 48 55 80 107 194 203 211 233 243 266 289 294 314 318 322 356 378 389 484 501 504 515 598 605 650 681 794 824 834 875 935 948 1001 1014 1057 1087 1088 1097 1199 1214 1341 1350 1357 1364 1380 1381 1421 1438 1445 1446 1492 1546 1573 1602 1619 1680 1722 1750 1781 1799 1808 1825 1835 1854 1855 1873 1894 1972 1979 1988 1993 2043
42,C [Si] ( C ) ( C ) C 1 = C O C = C 1 C 2 = C C = C C = C 2,40 63 76 81 89 100 102 123 140 222 261 334 347 352 366 378 384 389 470 530 572 585 587 589 647 650 656 686 703 708 736 739 740 797 812 944 1005 1045 1057 1088 1114 1160 1186 1199 1220 1337 1364 1380 1399 1411 1562 1598 1625 1629 1713 1724 1750 1762 1800 1864 1873 1887 1890 1959 1968 1976 2009 2044
43,C 1 = C C = C 2 C ( = C 1 ) N = C ( C ( = N 2 ) N S ( = O ) ( = O ) C 3 = C C = C ( C = C 3 ) Cl ) N C 4 = C C = C ( C = C 4 ) C 5 = C C = C ( C = C 5 ) [N+] ( = O ) [O-],4 20 69 83 111 191 193 216 230 271 289 307 319 350 378 399 403 461 486 491 502 560 561 587 599 600 602 641 650 708 715 753 769 816 825 838 843 854 866 872 883 888 896 905 932 959 981 996 1018 1052 1070 1088 1097 1152 1160 1170 1195 1199 1255 1266 1270 1274 1281 1285 1354 1360 1380 1476 1524 1526 1585 1658 1683 1730 1742 1750 1757 1809 1814 1855 1863 1873 1884 1921 1942 1962 1963 1964 2046
44,C C C 1 = C C = C ( C = C 1 ) N C ( = O ) C O C ( = O ) [C@@H] ( C ) N 2 C ( = O ) [C@@H] 3 [C@H] 4 C C [C@@H] ( C 4 ) [C@@H] 3 C 2 = O,1 5 37 41 80 86 120 125 145 147 167 191 214 236 280 283 294 305 310 314 349 401 463 548 584 585 608 647 650 694 695 708 710 755 761 807 843 887 892 899 901 916 926 929 935 979 1019 1057 1077 1090 1135 1144 1152 1155 1159 1172 1210 1221 1292 1325 1380 1457 1499 1556 1624 1690 1750 1754 1799 1816 1850 1861 1873 1882 1917 1927 1953 1965 1976 1984 1996 2004 2007 2047
45,C 1 = C C = C ( C ( = C 1 ) C S C 2 = N N = C ( S 2 ) N 3 C ( C ( = C ( C 3 = O ) O ) C ( = O ) C 4 = C C = C S 4 ) C 5 = C C = C ( C = C 5 ) Cl ) F,9 14 19 52 65 79 80 116 162 171 204 216 231 241 259 288 314 341 344 350 378 383 386 419 444 451 465 470 504 561 580 584 596 613 650 675 699 708 762 797 807 816 819 879 898 915 935 936 941 999 1019 1032 1068 1070 1088 1101 1114 1121 1164 1165 1199 1279 1349 1380 1389 1414 1427 1446 1493 1521 1524 1549 1567 1591 1597 1601 1602 1634 1651 1683 1743 1750 1752 1781 1803 1819 1833 1840 1843 1855 1867 1873 1917 1922 1928 1938 2024
46,C C 1 = C ( C ( = O ) N ( N 1 C ) C 2 = C C = C C = C 2 ) N C ( = O ) C ( C ) O C ( = O ) C C 3 = C ( C = C C = C 3 Cl ) F,1 69 75 80 93 128 131 173 246 283 291 314 325 327 366 381 385 389 430 504 506 561 567 570 573 602 611 641 643 650 660 674 695 699 705 712 740 758 759 773 803 807 813 852 861 882 935 974 1032 1039 1049 1057 1088 1117 1133 1144 1145 1152 1199 1235 1252 1253 1269 1332 1380 1386 1481 1514 1575 1660 1683 1710 1722 1734 1736 1750 1766 1816 1819 1825 1840 1873 1917 1928 1957 1967 1976 1977 2003 2032 2034
47,C C 1 = C C ( = C ( C = C 1 ) N C 2 = C ( C ( = N C = N 2 ) N C 3 = C ( C = C C ( = C 3 ) C ) O C ) N ) C,94 204 235 249 275 302 364 378 402 403 412 427 433 489 491 533 549 618 626 629 630 666 695 708 725 780 781 841 857 875 906 957 1013 1057 1105 1130 1146 1152 1171 1224 1245 1272 1367 1371 1380 1391 1426 1442 1445 1452 1457 1503 1536 1542 1628 1722 1750 1775 1810 1818 1823 1856 1873 1905 1970 2012 2018 2030 2037 2046
48,C / C = C / [C@@H] ( C ) [C@H] 1 [C@@H] ( [C@@H] ( O C 1 = O ) [C@H] ( C ) I ) C,1 10 23 26 58 108 143 163 192 208 231 283 303 314 435 442 501 523 532 556 600 650 656 661 694 750 763 770 823 834 835 844 941 962 1019 1045 1057 1065 1094 1123 1126 1141 1159 1177 1235 1240 1296 1309 1312 1380 1403 1486 1517 1558 1592 1595 1615 1619 1624 1689 1702 1713 1735 1763 1767 1885 2006 2020 2044
